paper_id,author_id,author_order
P00235,A00554,5
P00235,A00712,6
P00235,A00714,7
P00235,A00715,8
P00235,A00716,9
P00235,A00717,10
P00235,A00718,11
P00235,A00719,12
P00235,A00720,13
P00236,A00383,1
P00236,A00367,2
P00236,A00721,3
P00237,A00722,1
P00238,A00369,1
P00238,A00433,2
P00239,A00723,1
P00240,A00264,1
P00240,A00265,2
P00240,A00724,3
P00240,A00712,4
P00240,A00406,5
P00241,A00584,1
P00241,A00062,2
P00242,A00725,1
P00242,A00264,2
P00243,A00391,1
P00243,A00144,2
P00243,A00611,3
P00244,A00726,1
P00244,A00727,2
P00244,A00728,3
P00244,A00177,4
P00244,A00729,5
P00244,A00231,6
P00245,A00585,1
P00245,A00180,2
P00246,A00730,1
P00246,A00731,2
P00247,A00521,1
P00247,A00004,2
P00247,A00732,3
P00247,A00520,4
P00247,A00180,5
P00247,A00221,6
P00247,A00555,7
P00248,A00148,1
P00248,A00256,2
P00248,A00733,3
P00248,A00150,4
P00249,A00734,1
P00250,A00395,1
P00250,A00735,2
P00250,A00394,3
P00250,A00265,4
P00250,A00736,5
P00250,A00264,6
P00250,A00567,7
P00250,A00067,8
P00250,A00478,9
P00250,A00584,10
P00250,A00737,11
P00250,A00738,12
P00251,A00177,1
P00251,A00645,2
P00251,A00004,3
P00251,A00739,4
P00252,A00740,1
P00252,A00741,2
P00252,A00742,3
P00253,A00743,1
P00253,A00315,2
P00253,A00173,3
P00253,A00744,4
P00253,A00068,5
P00253,A00170,6
P00253,A00584,7
P00253,A00311,8
P00253,A00360,9
P00253,A00745,10
P00254,A00746,1
P00254,A00747,2
P00254,A00584,3
P00254,A00170,4
P00254,A00748,5
P00254,A00749,6
P00255,A00750,1
P00255,A00144,2
P00255,A00751,3
P00255,A00173,4
P00255,A00752,5
P00255,A00753,6
P00255,A00754,7
P00255,A00755,8
P00255,A00756,9
P00256,A00114,1
P00257,A00757,1
P00257,A00437,2
P00257,A00436,3
P00257,A00007,4
P00258,A00062,1
P00258,A00144,2
P00258,A00441,3
P00258,A00227,4
P00259,A00758,1
P00259,A00759,2
P00259,A00231,3
P00260,A00406,1
P00260,A00554,2
P00260,A00234,3
P00260,A00760,4
P00260,A00468,5
P00261,A00521,1
P00261,A00623,2
P00261,A00004,3
P00261,A00624,4
P00261,A00625,5
P00262,A00761,1
P00262,A00762,2
P00262,A00723,3
P00262,A00218,4
P00263,A00763,1
P00264,A00764,1
P00264,A00765,2
P00264,A00030,3
P00264,A00766,4
P00264,A00767,5
P00265,A00609,1
P00265,A00584,2
P00266,A00609,1
P00266,A00584,2
P00267,A00768,1
P00267,A00769,2
P00267,A00770,3
P00267,A00771,4
P00267,A00772,5
P00267,A00773,6
P00267,A00774,7
P00267,A00775,8
P00267,A00776,9
P00267,A00777,10
P00267,A00778,11
P00268,A00388,1
P00268,A00033,2
P00268,A00030,3
P00269,A00779,1
P00269,A00780,2
P00269,A00781,3
P00269,A00782,4
P00270,A00153,1
P00270,A00699,2
P00270,A00700,3
P00270,A00701,4
P00270,A00702,5
P00271,A00239,1
P00271,A00284,2
P00271,A00783,3
P00272,A00239,1
P00272,A00783,2
P00272,A00284,3
P00273,A00062,1
P00273,A00144,2
P00273,A00441,3
P00274,A00784,1
P00274,A00785,2
P00274,A00692,3
P00274,A00375,4
P00274,A00786,5
P00275,A00787,1
P00275,A00788,2
P00275,A00789,3
P00276,A00787,1
P00276,A00788,2
P00276,A00789,3
P00277,A00519,1
P00277,A00026,2
P00277,A00177,3
P00277,A00433,4
P00277,A00790,5
P00277,A00704,6
P00277,A00375,7
P00278,A00791,1
P00278,A00792,2
P00278,A00569,3
P00278,A00570,4
P00278,A00793,5
P00278,A00093,6
P00279,A00703,1
P00279,A00467,2
P00279,A00167,3
P00279,A00794,4
P00279,A00229,5
P00279,A00067,6
P00280,A00795,1
P00280,A00796,2
P00280,A00797,3
P00280,A00798,4
P00280,A00799,5
P00280,A00800,6
P00280,A00801,7
P00280,A00802,8
P00280,A00803,9
P00281,A00727,1
P00281,A00004,2
P00282,A00394,1
P00282,A00265,2
P00282,A00395,3
P00282,A00804,4
P00282,A00264,5
P00282,A00226,6
P00282,A00067,7
P00282,A00168,8
P00282,A00567,9
P00282,A00736,10
P00282,A00805,11
P00283,A00806,1
