author_id,author_name
A00798,C.T Russell
A00799,D.M Yang
A00800,X Zhou
A00801,S.F Yang
A00802,V Angelopoulos
A00803,F.K Chun
A00804,P. J. Chapman
A00805,F. Honary
A00806,Curt A. L. Szuberla
A00807,John V. Olson
A00808,M. Geoff McHarg
A00809,Dongs-Liang Wu
A00810,D.A. Andre
A00811,J.‐P Villain
A00812,V. Krassnosel'skikh
A00813,D. Saward
A00814,Lawrence R. Lyons
A00815,Eric Donovan
A00816,E. Borälv
A00817,Paul Eglitis
A00818,G. Reeves
A00819,P. Stauning
A00820,Stephen R. Beagley
A00821,Charles McLandress
A00822,D.Y Wang
A00823,Y.J Rochon
A00824,S.P Zhang
A00825,R.H Wiens
A00826,D.Y Liang
A00827,W.A Gault
A00828,Darren M. Wright
A00829,Alan J. Stocker
A00830,B. R. Arora
A00831,P. B. V. Subba Rao
A00832,N. B. Trivedi
A00833,A. L. Padilha
A00834,I. Vitorello
A00835,E. I. Tanskanen
A00836,A. Viljanen
A00837,R. Pirjola
A00838,L. Häkkinen
A00839,A. Pulkkinen
A00840,A. Fazakerley
A00841,H. Opgenoorth
A00842,J. Moen
A00843,M. Dunlop
A00844,J.-M. Bosqued
A00845,G. Lu
A00846,C. Cully
A00847,P. Eglitis
A00848,I. W. McCrea
A00849,M. A. Hapgood
A00850,M. N. Wild
A00851,R. Stamper
A00852,W. Denig
A00853,M. Taylor
A00854,T. Pulkkinen
A00855,A. Strømme
A00856,F. Pitout
A00857,A. Balogh
A00858,H. Rème
A00859,R. Behlke
A00860,T. Hansen
A00861,R. Greenwald
A00862,H. Frey
A00863,S. K. Morley
A00864,P.-L. Blelly
A00865,E. Donovan
A00866,M. Engebretson
A00867,M. F. Marcucci
A00868,I. McCrea
A00869,M. J. Engebretson
A00870,J. Waterman
A00871,H. Alleyne
A00872,M. André
A00873,M. W. Dunlop
A00874,N. Cornilleau-Wehrlin
A00875,A. Masson
A00876,A. Fazerkerley
A00877,P. L. Blelly
A00878,H. Boholm
A00879,J. M. Bosqued
A00880,S. Buchert
A00881,M. Candidi
A00882,J. C. Cerisier
A00883,W. F. Denig
A00884,B. Jackal
A00885,J. D. Kelly
A00886,I. Krauklis
A00887,M. Maksimovic
A00888,S. Massetti
A00889,P. M. E. Décréau
A00890,S. Orsini
A00891,J. J. Schott
A00892,F. Sedgemore-Schulthess
A00893,A. Vaivads
A00894,M. Wild
A00895,W. A. Bristow
A00896,D. Lummerzheim
A00897,O. L. Vaisberg
A00898,V. N. Smirnov
A00899,L. A. Avanov
A00900,J. H. Waite
A00901,J. L. Burch
A00902,D. L. Gallagher
A00903,N. L. Borodkova
A00904,Malik Rakhmanov
A00905,H. Khan
A00906,K.-H. Fornaçon
A00907,D. Monselesan
A00908,P. Wilkinson
A00909,I. J. Rae
A00910,J. Storey
A00911,A. B. Stockton‐Chalk
A00912,J. L. Roeder
A00913,K. J. Trattner
A00914,Kirsti Kauristie
A00915,Tuija I. Pulkkinen
A00916,Olaf Amm
A00917,Ari Viljanen
A00918,Mikko Syrjäsuo
A00919,P. Janhunen
A00920,Stefano Massetti
A00921,Stefano Orsini
A00922,Ian. R. Mann
A00923,Charles Smith
A00924,Malcolm Dunlop
A00925,M. Brittnacher
A00926,P. J. Lacroix
A00927,Ryuho Kataoka
A00928,L. J. Lanzerotti
A00929,C. G. Maclennan
A00930,Harald U. Frey
A00931,Stephen B. Mende
A00932,J. H. Doolittle
A00933,T. J. Rosenberg
A00934,Allan T. Weatherwax
A00935,C. E. Valladares
A00936,S. Basu
A00937,K. Groves
A00938,M. P. Hagan
A00939,D. Hysell
A00940,A. J. Mazzella
A00941,R. E. Sheehan
A00942,Denis G. Rancourt
A00943,Danielle Fortin
A00944,Thomas Pichler
A00945,Pierre-Jean Thibault
A00946,Gilles Lamarche
A00947,Richard V. Morris
A00948,Patrick H.J. Mercier
A00949,L. G. Ozeke
A00950,J.-E. Wahlund
A00951,A.-I. Eriksson
A00952,A. Tjulin
A00953,T. D. Carozzi
A00954,G. Gustafsson
A00955,D. Sundkvist
A00956,Y. Khotyaintsev
A00957,L. Rezeau
A00958,E. Lucek
A00959,P.-A. Lindqvist
A00960,F. Mozer
A00961,A. Pedersen
A00962,J. R. Abalde
A00963,P. R. Fagundes
A00964,J. A. Bittencourt
A00965,Y. Sahai
A00966,Ari T. Viljanen
A00967,Hermann J. Opgenoorth
A00968,E. Kolesnikova
A00969,M. J. Brittnacher
A00970,W. S. Kurth
A00971,D. J. McComas
A00972,L. Newitt
A00973,C. J. Owen
A00974,Howard J. Singer
A00975,Charles W. Smith
A00976,D. J. Southwood
A00977,John B. Kumer
A00978,Richard L. Rairden
A00979,Gary R. Swenson
A00980,D. V. Sarafopoulos
A00981,R. W. McEntire
