author_id,author_name
A00309,O. LeContel
A00310,S. Frey
A00311,T. Phan
A00312,C. T. Russell
A00313,M. Fillingim
A00314,G. Parks
A00315,J. Raeder
A00316,H. Yamagishi
A00317,F. Honary
A00318,G. Ya. Khachikjan
A00319,G. J. Sofko
A00320,Parkinson M.L.
A00321,Lointier G.
A00322,Dudok De Wit T.
A00323,Hanuise C.
A00324,Vallières X.
A00325,Villain J.-P.
A00326,Hannah K.M.
A00327,Dyson P.L.
A00328,A. W. Degeling
A00329,Pavlo V. Ponomarenko
A00330,Frederick W. Menk
A00331,A. Kadokura
A00332,G. Bjornsson
A00333,Th. Saemundsson
A00334,J. Y. Lu
A00335,W. Wang
A00336,J. Lei
A00337,S. C. Solomon
A00338,I. J. Rae
A00339,J.‐S. Wang
A00340,G.‐M. Le
A00341,T. A. Yahnina
A00342,H. U. Frey
A00343,T. Bösinger
A00344,A. G. Yahnin
A00345,M. F. Marcucci
A00346,I. Coco
A00347,D. Ambrosino
A00348,E. Amata
A00349,M. B. Bavassano Cattaneo
A00350,A. Retinò
A00351,Raymond A. Greenwald
A00352,Robin Barnes
A00353,J. Michael Ruohoniemi
A00354,Joseph Baker
A00355,Elsayed R. Talaat
A00356,David Sibeck
A00357,Charles W. Carlson
A00358,James P. McFadden
A00359,Davin Larson
A00360,R. P. Lin
A00361,John W. Bonnell
A00362,R. Ergun
A00363,Christopher Cully
A00364,K. H. Glassmeier
A00365,Uli Auster
A00366,Tai Phan
A00367,Harald Frey
A00368,R. Strangeway
A00369,J. Liu
A00370,Jonathan Rae
A00371,Joachim Raeder
A00372,Howard J. Singer
A00373,Victor A. Sergeev
A00374,Sergey Apatenkov
A00375,P. Daum
A00376,James A. Wild
A00377,T. Penz
A00378,E. E. Woodfield
A00379,A. N. Fazakerley
A00380,P. W. Daly
A00381,Haje Korth
A00382,Brian J. Anderson
A00383,Natalia G. Kleimenova
A00384,Olga V. Kozyreva
A00385,A. Ranta
A00386,Kirsti Kauristie
A00387,S. Mäkinen
A00388,Tatyana A. Kornilova
A00389,P. Dalin
A00390,N. Pertsev
A00391,A. Zadorozhny
A00392,I. Schofield
A00393,I. Shelton
A00394,M. Zalcik
A00395,T. McEwan
A00396,I. McEachran
A00397,S. Frandsen
A00398,O. Hansen
A00399,H. Andersen
A00400,V. Sukhodoev
A00401,V. Perminov
A00402,V. Romejko
A00403,Roman A. Makarevich
A00404,L. Kepko
A00405,Werner Magnes
