author_id,author_name
A00755,"Key Laboratory of Space Environment Monitoring and Information Processing, Ministry of Industry and Information Technology, Beijing 100017, China"
A00756,"Department of Space and Climate Physics, UCL, Mullard Space Science Laboratory, Holmbury St. Mary, Dorking, Surrey, RH5 6NT, UK"
A00757,"Birkeland Centre for Space Science, Department of Physics and Technology., University of Bergen, Bergen, Norway"
A00758,"Department of Physics and Astronomy, University of Calgary, 2500 University Drive, Calgary, Alberta, Canada T2N 1N4"
A00759,"British Antarctic Survey, Cambridge, UK"
A00760,"Swedish Institute of Space Physics, Kiruna, Sweden"
A00761,"West Highfield Campus, University of Southampton, University Road, SO17 1BJ, UK"
A00762,"Goddard Space Flight Center, NASA, Greenbelt, Maryland, USA"
A00763,"Athabasca University, Athabasca, Canada"
A00764,"ESTEC, European Space Agency, Netherlands"
A00765,"University of Saskatchewan, Saskatoon, Canada"
A00766,"The Johns Hopkins University Applied Physics Laboratory, Laurel, Maryland, USA"
A00767,"Swedish Institude of Space Physics, Uppsala, SE 75121, Sweden"
A00768,"Tongji University, Shanghai 200092, China"
A00769,"Center for Space Plasma Physics, Space Science Institute, 4765 Walnut Street Suite B, Boulder, Colorado, 80301, USA"
A00770,"Polar Research Institute of China, Shanghai 200136, China"
A00771,"Finnish Meteorological Institute (FMI), Finland"
A00772,"Department of Earth and Environmental Sciences (Geophysics), Ludwig Maximilian University of Munich (LMU) Munich, Theresienstr. 41, Munich, D-80333, Germany"
A00773,"Canadian Space Agency, Montreal, Canada"
A00774,"GFZ German Research Centre for Geosciences, Potsdam, Germany"
A00775,"Nagoya University, Institute for Space Earth Environment Research, Center for Integrated Data Science, Nagoya, Aichi, JP 464-8601"
A00776,"Northumbria University, Newcastle upon Tyne, Tyne and Wear, UK NE1 8ST"
A00777,"National Space Science Center, Chinese Academy Sciences, Beijing 100190, China"
A00778,"Arctic Geophysics, University Centre in Svalbard, Longyearbyen, Norway"
A00779,Sweden Eiscat
A00780,"Space and Planetary Physics Group, Physics Department, Lancaster University, Lancaster, LA1 4YB, UK"
A00781,"Center for Space Physics, Boston University, Boston, MA, USA"
A00782,"Earth, Planetary, and Space Sciences, University of California, Los Angeles, USA"
A00783,"Shandong Provincial Key Laboratory of Optical Astronomy and Solar-Terrestrial Environment, Institute of Space Sciences, Shandong University, Weihai Shandong 264209, China"
A00784,Kyle Murphy
A00785,Mark D. Looper
A00786,Alan Dyer
A00787,Lauri Kangas
A00788,Jøran Idar Moen
A00789,L. B. Clausen
A00790,Gerhard Haerendel
A00791,Robert L. McPherron
A00792,Tung-Shin Hsu
A00793,Zuyin Pu
A00794,M.-C. H. Fok
A00795,Y. Zheng
A00796,J.-J. Lee
A00797,A. Glocer
A00798,T. Onsager
A00799,Masafumi Hirahara
A00800,Steve Chen
A00801,Natsuo Sato
A00802,Tomoaki Hori
A00803,Akira Sessai Yukimatu
A00804,Nadine M. E. Kalmoni
A00805,C. J. Owen
A00806,Costel Bunescu
A00807,Octav Marghitu
A00808,D. Constantinescu
A00809,Y. Narita
A00810,Joachim Vogt
A00811,A. Blăgău
A00812,Brian J. Anderson
A00813,Haje Korth
A00814,D. Mitchell
A00815,Reiko Nomura
A00816,Yoshiharu Omura
A00817,Yuichi Otsuka
A00818,Tsugunobu Nagai
A00819,D. H. Fairfield
A00820,J. A. Slavin
A00821,Heikki Vanhamäki
A00822,H. Uchino
A00823,Dennis Frühauff
A00824,Joshua Semeter
A00825,A. T. Y. Lui
A00826,D. Grodent
A00827,A. M. Du
A00828,Z. H. Yao
A00829,L. C. Ray
A00830,A. J. Coates
A00831,A. T. Lui
A00832,J. H. Waite
A00833,G. H. Jones
A00834,R. L. Guo
A00835,W. R. Dunn
A00836,X. Shi
A00837,W. Kurth
A00838,S. A. Kiehas
A00839,V. Angelopolos
A00840,Heli Hietala
A00841,D. Korovinksiy
A00842,Charles W. Carlson
A00843,R. P. Lin
A00844,A. Roux
A00845,O. LeContel
A00846,S. Frey
A00847,Tai Phan
