paper_id,instrument_id,instrument_status
P00614,I00006,uses
P00615,I00006,uses
P00616,I00001,uses
P00617,I00003,uses
P00618,I00003,uses
P00619,I00001,uses
P00620,I00006,uses
P00621,I00005,uses
P00622,I00006,uses
P00623,I00001,uses
P00624,I00001,uses
P00625,I00005,uses
P00626,I00005,uses
P00627,I00007,uses
P00628,I00003,uses
P00629,I00007,uses
P00630,I00001,uses
P00631,I00001,uses
P00632,I00005,uses
P00633,I00005,uses
P00634,I00006,uses
P00635,I00001,uses
P00636,I00003,uses
P00636,I00004,uses
P00636,I00001,uses
P00637,I00003,uses
P00638,I00005,uses
P00639,I00001,uses
P00640,I00001,uses
P00641,I00007,uses
P00642,I00007,uses
P00643,I00008,uses
P00644,I00005,uses
P00644,I00008,uses
P00645,I00008,uses
P00645,I00006,uses
P00646,I00001,uses
P00647,I00001,uses
P00648,I00002,uses
P00649,I00005,uses
P00650,I00003,uses
P00650,I00004,uses
P00650,I00001,uses
P00650,I00006,uses
P00651,I00006,uses
P00652,I00001,uses
P00653,I00001,uses
P00654,I00002,uses
P00654,I00006,uses
P00655,I00007,uses
P00656,I00007,uses
P00657,I00001,uses
P00658,I00001,uses
P00659,I00003,uses
P00660,I00007,uses
P00661,I00005,uses
P00662,I00005,uses
P00663,I00013,uses
P00664,I00005,uses
P00664,I00001,uses
P00665,I00007,uses
P00666,I00001,uses
P00667,I00013,uses
P00667,I00005,uses
P00668,I00005,uses
P00669,I00001,uses
P00670,I00001,uses
P00670,I00006,uses
P00671,I00005,uses
P00671,I00003,uses
P00671,I00006,uses
P00672,I00006,uses
P00673,I00008,uses
P00674,I00005,uses
P00674,I00007,uses
P00675,I00007,uses
P00676,I00001,uses
P00677,I00007,uses
P00678,I00006,uses
P00679,I00001,uses
P00680,I00003,uses
P00680,I00004,uses
P00680,I00001,uses
P00681,I00001,uses
P00682,I00013,uses
P00682,I00005,uses
P00682,I00015,uses
P00683,I00007,uses
P00684,I00007,uses
P00685,I00001,uses
P00686,I00001,uses
P00687,I00006,uses
P00688,I00007,uses
P00689,I00001,uses
P00690,I00014,uses
P00691,I00006,uses
P00692,I00001,uses
P00693,I00003,uses
P00693,I00004,uses
P00693,I00001,uses
P00694,I00005,uses
P00695,I00006,uses
P00696,I00005,uses
P00696,I00001,uses
P00697,I00005,uses
P00697,I00001,uses
P00698,I00005,uses
P00699,I00005,uses
P00699,I00007,uses
P00700,I00006,uses
P00701,I00001,uses
P00702,I00007,uses
P00703,I00011,uses
P00704,I00001,uses
P00705,I00001,uses
P00706,I00007,uses
P00707,I00006,uses
P00708,I00006,uses
P00709,I00001,uses
P00710,I00001,uses
P00711,I00005,uses
P00711,I00015,uses
P00712,I00016,uses
P00712,I00007,uses
P00713,I00001,uses
P00714,I00001,uses
P00715,I00008,uses
P00715,I00003,uses
P00716,I00005,uses
P00717,I00005,uses
P00718,I00001,uses
P00719,I00005,uses
P00720,I00007,uses
P00721,I00006,uses
P00722,I00001,uses
P00723,I00007,uses
P00724,I00005,uses
P00725,I00005,uses
P00725,I00006,uses
P00726,I00001,uses
P00727,I00001,uses
P00728,I00013,uses
P00729,I00005,uses
P00730,I00002,uses
P00731,I00001,uses
P00732,I00002,uses
P00733,I00005,uses
P00734,I00003,uses
P00734,I00004,uses
P00734,I00001,uses
P00735,I00003,uses
P00736,I00007,uses
P00737,I00002,uses
P00737,I00003,uses
P00737,I00006,uses
P00738,I00007,uses
P00739,I00002,uses
P00740,I00007,uses
P00740,I00006,uses
P00741,I00001,uses
P00742,I00007,uses
P00743,I00005,uses
P00744,I00001,uses
P00745,I00001,uses
P00746,I00001,uses
P00747,I00001,uses
P00748,I00006,uses
P00749,I00016,uses
P00750,I00003,uses
P00750,I00004,uses
P00750,I00001,uses
P00751,I00003,uses
P00751,I00004,uses
P00751,I00001,uses
P00752,I00007,uses
P00753,I00001,uses
P00754,I00003,uses
P00755,I00008,uses
P00756,I00001,uses
P00757,I00016,uses
P00758,I00005,uses
P00758,I00003,uses
P00759,I00006,uses
P00760,I00006,uses
P00761,I00001,uses
P00762,I00001,uses
P00763,I00003,uses
P00764,I00002,uses
P00765,I00005,uses
P00766,I00001,uses
P00767,I00016,uses
P00768,I00001,uses
P00769,I00012,uses
P00769,I00006,uses
P00770,I00007,uses
P00771,I00002,uses
P00772,I00008,uses
P00772,I00003,uses
P00772,I00004,uses
P00772,I00001,uses
P00773,I00007,uses
P00774,I00007,uses
P00774,I00003,uses
P00774,I00004,uses
P00774,I00001,uses
P00775,I00001,uses
P00776,I00001,uses
P00777,I00006,uses
P00778,I00001,uses
P00779,I00005,uses
P00779,I00001,uses
P00780,I00005,uses
P00781,I00008,uses
P00782,I00001,uses
P00783,I00016,uses
P00784,I00003,uses
P00784,I00004,uses
P00784,I00001,uses
P00785,I00001,uses
P00786,I00005,uses
P00786,I00008,uses
P00787,I00002,uses
P00787,I00006,uses
P00788,I00007,uses
P00789,I00007,uses
P00790,I00001,uses
P00791,I00007,uses
P00791,I00003,uses
P00791,I00004,uses
P00791,I00001,uses
P00792,I00005,uses
P00793,I00007,uses
P00794,I00001,uses
P00795,I00001,uses
P00796,I00005,uses
P00796,I00003,uses
P00796,I00004,uses
P00796,I00001,uses
P00797,I00001,uses
P00798,I00001,uses
P00799,I00006,uses
P00800,I00001,uses
P00801,I00006,uses
P00802,I00001,uses
P00803,I00001,uses
P00804,I00007,uses
P00805,I00001,uses
P00806,I00001,uses
P00807,I00007,uses
P00807,I00003,uses
P00808,I00003,uses
P00808,I00001,uses
P00809,I00001,uses
P00810,I00005,uses
P00811,I00001,uses
P00812,I00005,uses
P00813,I00001,uses
P00814,I00007,uses
P00815,I00007,uses
P00816,I00006,uses
P00817,I00003,uses
P00817,I00004,uses
P00817,I00001,uses
P00817,I00006,uses
P00818,I00016,uses
P00818,I00008,uses
P00818,I00003,uses
P00818,I00004,uses
P00818,I00001,uses
P00819,I00008,uses
P00820,I00016,uses
P00821,I00002,uses
P00822,I00007,uses
P00822,I00001,uses
P00823,I00001,uses
P00824,I00003,uses
P00825,I00005,uses
P00826,I00001,uses
P00827,I00007,uses
P00828,I00005,uses
P00829,I00006,uses
P00830,I00007,uses
P00831,I00005,uses
P00832,I00005,uses
P00833,I00002,uses
P00834,I00001,uses
P00835,I00003,uses
P00835,I00006,uses
P00836,I00001,uses
P00837,I00006,uses
P00838,I00007,uses
P00839,I00001,uses
P00840,I00007,uses
P00841,I00001,uses
P00842,I00006,uses
P00843,I00003,uses
P00843,I00004,uses
P00843,I00001,uses
P00844,I00001,uses
P00845,I00001,uses
P00846,I00007,uses
P00847,I00003,uses
P00847,I00004,uses
P00847,I00001,uses
P00848,I00005,uses
P00849,I00007,uses
P00850,I00001,uses
P00851,I00003,uses
P00851,I00004,uses
P00851,I00001,uses
P00851,I00006,uses
P00852,I00001,uses
P00853,I00003,uses
P00853,I00004,uses
P00853,I00001,uses
P00854,I00003,uses
P00854,I00006,uses
P00855,I00006,uses
P00856,I00001,uses
P00857,I00013,uses
P00857,I00003,uses
P00857,I00004,uses
P00857,I00001,uses
P00858,I00008,uses
P00858,I00003,uses
P00858,I00004,uses
P00858,I00001,uses
P00859,I00001,uses
P00860,I00003,uses
P00860,I00006,uses
P00861,I00007,uses
P00862,I00005,uses
P00862,I00006,uses
P00863,I00007,uses
P00864,I00006,uses
P00865,I00007,uses
P00866,I00007,uses
P00866,I00003,uses
P00867,I00008,uses
P00868,I00010,uses
P00869,I00001,uses
P00870,I00007,uses
P00871,I00016,uses
P00872,I00005,uses
P00873,I00005,uses
P00874,I00001,uses
P00875,I00016,uses
P00875,I00003,uses
P00875,I00004,uses
P00875,I00001,uses
P00876,I00007,uses
P00877,I00005,uses
P00878,I00005,uses
P00879,I00005,uses
P00880,I00005,uses
P00881,I00007,uses
P00882,I00001,uses
P00883,I00006,uses
P00884,I00007,uses
P00885,I00016,uses
P00885,I00007,uses
P00886,I00001,uses
P00887,I00003,uses
P00887,I00004,uses
P00887,I00001,uses
P00888,I00007,uses
P00889,I00016,uses
P00890,I00016,uses
P00891,I00001,uses
P00892,I00005,uses
P00893,I00001,uses
P00894,I00008,uses
P00894,I00001,uses
P00895,I00001,uses
P00896,I00001,uses
P00897,I00003,uses
P00898,I00005,uses
P00898,I00003,uses
P00899,I00016,uses
P00900,I00001,uses
P00901,I00005,uses
P00902,I00006,uses
P00903,I00005,uses
P00904,I00001,uses
P00905,I00016,uses
P00906,I00008,uses
P00907,I00001,uses
P00908,I00001,uses
P00909,I00001,uses
P00910,I00013,uses
P00911,I00001,uses
P00912,I00008,uses
P00912,I00006,uses
P00913,I00005,uses
P00914,I00003,uses
P00914,I00004,uses
P00914,I00001,uses
P00915,I00008,uses
P00916,I00007,uses
P00917,I00001,uses
P00918,I00007,uses
P00918,I00003,uses
P00919,I00012,uses
P00920,I00005,uses
P00921,I00007,uses
P00922,I00012,uses
P00923,I00001,uses
P00924,I00001,uses
P00925,I00003,uses
P00925,I00004,uses
P00926,I00002,uses
P00926,I00003,uses
P00927,I00005,uses
P00928,I00006,uses
P00929,I00005,uses
P00930,I00005,uses
P00931,I00001,uses
P00931,I00006,uses
P00932,I00007,uses
P00933,I00001,uses
P00934,I00007,uses
P00935,I00007,uses
P00936,I00001,uses
P00937,I00016,uses
P00938,I00001,uses
P00939,I00005,uses
P00940,I00008,uses
P00940,I00003,uses
P00940,I00004,uses
P00940,I00001,uses
P00941,I00016,uses
P00942,I00007,uses
P00943,I00005,uses
P00943,I00003,uses
P00944,I00007,uses
P00945,I00005,uses
P00946,I00008,uses
P00947,I00001,uses
P00948,I00003,uses
P00949,I00005,uses
P00950,I00006,uses
P00951,I00006,uses
P00952,I00017,uses
P00952,I00003,uses
P00952,I00004,uses
P00953,I00006,uses
P00954,I00003,uses
P00954,I00004,uses
P00954,I00001,uses
P00955,I00003,uses
P00956,I00006,uses
P00957,I00006,uses
P00958,I00001,uses
P00959,I00007,uses
P00960,I00001,uses
P00961,I00016,uses
