author_id,author_name
A00732,Stephen B. Mende
A00733,J. H. Doolittle
A00734,T. J. Rosenberg
A00735,Allan T. Weatherwax
A00736,C. E. Valladares
A00737,S. Basu
A00738,K. Groves
A00739,M. P. Hagan
A00740,D. Hysell
A00741,A. J. Mazzella
A00742,R. E. Sheehan
A00743,P. L. Israelevich
A00744,A. I. Ershkovich
A00745,K. C. Hansen
A00746,D. L. DeZeeuw
A00747,L. G. Ozeke
A00748,J.-E. Wahlund
A00749,A.-I. Eriksson
A00750,A. Tjulin
A00751,T. D. Carozzi
A00752,G. Gustafsson
A00753,D. Sundkvist
A00754,Y. Khotyaintsev
A00755,L. Rezeau
A00756,E. Lucek
A00757,P.-A. Lindqvist
A00758,F. Mozer
A00759,A. Pedersen
A00760,Ari T. Viljanen
A00761,Don D. Wallis
A00762,Leroy L. Cogger
A00763,Hermann J. Opgenoorth
A00764,E. Kolesnikova
A00765,M. J. Brittnacher
A00766,Terry J. Hughes
A00767,W. S. Kurth
A00768,D. J. McComas
A00769,L. Newitt
A00770,Howard J. Singer
A00771,Charles W. Smith
A00772,D. J. Southwood
A00773,J. F. Watermann
A00774,M. Uspensky
A00775,G. Starkov
A00776,N. Sato
A00777,Arpad Csik
A00778,Bart van der Holst
A00779,Hans d
A00780,Herman Deconinck
A00781,John B. Kumer
A00782,Richard L. Rairden
A00783,Gary R. Swenson
A00784,A. Keiling
A00785,J. R. Wygant
A00786,C. Cattell
A00787,K.‐H. Kim
A00788,C. T. Russell
A00789,M. Temerin
A00790,F. S. Mozer
A00791,C. A. Kletzing
A00792,S. C. Buchert
A00793,N. Nishitani
A00794,P. K. Toivanen
A00795,Daniel N. Baker
A00796,William K. Peterson
A00797,X. Li
A00798,Andreas Keiling
A00799,John R. Wygant
A00800,P. J. Chi
A00801,J. Raeder
A00802,E. Zesta
A00803,H. Kawano
A00804,K. Kitamura
A00805,V. Angelopoulos
A00806,G. Le
A00807,M. B. Moldwin
A00808,M. Prakash
A00809,N. Dubouloz
A00810,Mehdi Bouhram
A00811,D. Delcourt
A00812,M. Malingre
A00813,J.-A. Sauvaud
A00814,Pavlo V. Ponomarenko
A00815,M. D. Sciffer
A00816,A. Csı́k
A00817,D.Vanden Abeele
