paper_id,instrument_id,instrument_status
P00398,I00005,uses
P00399,I00002,uses
P00400,I00002,uses
P00400,I00001,uses
P00401,I00002,uses
P00401,I00001,uses
P00402,I00002,uses
P00402,I00001,uses
P00402,I00009,uses
P00403,I00002,uses
P00403,I00005,uses
P00404,I00002,uses
P00404,I00005,uses
P00405,I00002,uses
P00405,I00001,uses
P00406,I00002,uses
P00406,I00001,uses
P00406,I00003,uses
P00407,I00002,uses
P00407,I00001,uses
P00407,I00003,uses
P00408,I00002,uses
P00408,I00001,uses
P00409,I00002,uses
P00409,I00001,uses
P00410,I00002,uses
P00410,I00005,uses
P00411,I00002,uses
P00411,I00001,uses
P00412,I00002,uses
P00412,I00001,uses
P00413,I00002,uses
P00413,I00003,uses
P00414,I00002,uses
P00415,I00002,uses
P00415,I00001,uses
P00415,I00003,uses
P00416,I00002,uses
P00416,I00001,uses
P00417,I00002,uses
P00417,I00005,uses
P00418,I00002,uses
P00418,I00003,uses
P00419,I00002,uses
P00419,I00005,uses
P00420,I00002,uses
P00420,I00005,uses
P00421,I00002,uses
P00421,I00005,uses
P00422,I00002,uses
P00422,I00005,uses
P00423,I00002,uses
P00423,I00009,uses
P00424,I00002,uses
P00424,I00005,uses
P00425,I00002,uses
P00425,I00001,uses
P00426,I00002,uses
P00426,I00005,uses
P00427,I00002,uses
P00427,I00005,uses
P00428,I00002,uses
P00428,I00005,uses
P00429,I00002,uses
P00429,I00001,uses
P00430,I00002,uses
P00430,I00005,uses
P00431,I00002,uses
P00431,I00001,uses
P00431,I00003,uses
P00432,I00002,uses
P00432,I00001,uses
P00432,I00008,uses
P00433,I00002,uses
P00433,I00001,uses
P00434,I00002,uses
P00434,I00001,uses
P00435,I00002,uses
P00435,I00001,uses
P00436,I00002,uses
P00436,I00005,uses
P00437,I00002,uses
P00437,I00003,uses
P00438,I00002,uses
P00438,I00001,uses
P00438,I00009,uses
P00439,I00002,uses
P00439,I00011,uses
P00439,I00005,uses
P00439,I00003,uses
P00440,I00002,uses
P00440,I00005,uses
P00441,I00002,uses
P00441,I00005,uses
P00442,I00002,uses
P00442,I00005,uses
P00443,I00002,uses
P00443,I00001,uses
P00443,I00003,uses
P00444,I00002,uses
P00444,I00005,uses
P00445,I00002,uses
P00445,I00005,uses
P00446,I00002,uses
P00446,I00008,uses
P00447,I00004,uses
P00448,I00002,uses
P00448,I00005,uses
P00449,I00002,uses
P00449,I00005,uses
P00450,I00002,uses
P00450,I00001,uses
P00451,I00002,uses
P00451,I00001,uses
P00452,I00002,uses
P00452,I00001,uses
P00453,I00002,uses
P00453,I00001,uses
P00454,I00002,uses
P00454,I00005,uses
P00455,I00002,uses
P00455,I00001,uses
P00456,I00002,uses
P00456,I00003,uses
P00457,I00002,uses
P00457,I00005,uses
P00458,I00002,uses
P00458,I00001,uses
P00458,I00009,uses
P00459,I00002,uses
P00459,I00001,uses
P00460,I00002,uses
P00460,I00005,uses
